,inputs,policies,policies_sent,labels
2115,The system shall store reason id number for the reason and the name of the reason.,"[{'decision': 'allow', 'subject': 'system', 'action': 'store', 'resource': 'name of the reason', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'system', 'action': 'store', 'resource': 'reason id number', 'condition': 'none', 'purpose': 'none'}]",system is allowed to store name of the reason and system is not able to store reason id number,0
2116,"Only the school administrators are permitted to access, edit, and delete students' personal information in the school database for the purpose of record keeping, provided that the students' consent has been obtained.","[{'decision': 'allow', 'subject': 'none', 'action': 'access', 'resource': 'students personal information', 'purpose': 'record keeping', 'condition': 'students consent has been obtained'}, {'decision': 'allow', 'subject': 'school administrator', 'action': 'edit', 'resource': 'students personal information', 'purpose': 'record keeping', 'condition': 'students consent has been obtained'}, {'decision': 'allow', 'subject': 'school administrator', 'action': 'delete', 'resource': 'students personal information', 'purpose': 'record keeping', 'condition': 'students consent has been obtained'}]","students personal information is shall to be access for the purpose of record keeping, if students consent has been obtained and school administrator is authorized to edit students personal information for the purpose of record keeping, if students consent has been obtained and school administrator is able to delete students personal information for the purpose of record keeping, if students consent has been obtained",6
2117,All members of FACULTY can ASSIGN both INTERNALGRADES and EXTERNALGRADES.,"[{'decision': 'allow', 'subject': 'faculty', 'action': 'assign', 'resource': 'certain course offering', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'faculty', 'action': 'assign', 'resource': 'externalgrade', 'condition': 'none', 'purpose': 'none'}]",faculty is authorized to assign certain course offering and faculty is shall to assign externalgrade,3
2118,The system removes the professor from teaching the de-selected course offerings.,"[{'decision': 'deny', 'subject': 'system', 'action': 'remove', 'resource': 'professor', 'condition': 'none', 'purpose': 'none'}]",system is unauthorized to remove professor,0
2119,"A secret key is personally provided to the user, with which the user can reset his or her password.","[{'decision': 'allow', 'subject': 'none', 'action': 'confirm', 'resource': 'secret key', 'condition': 'none', 'purpose': 'user can reset his or her password'}]",secret key is allowed to be confirm for the purpose of user can reset his or her password,2
2120,The medication is checked against the patient's current and future prescriptions.,"[{'decision': 'allow', 'subject': 'none', 'action': 'bold', 'resource': 'medication', 'condition': 'none', 'purpose': 'none'}]",medication is authorized to be bold,2
2121,The system should send email notifications to users when their password is about to expire.,"[{'decision': 'allow', 'subject': 'system', 'action': 'send', 'resource': 'email notification', 'condition': 'until students register for the current semester', 'purpose': 'none'}]",system is authorized to send email notification if until students register for the current semester,4
2122,"The administrator stores the ICD-9CM code, a classification and the name of the diagnosis.","[{'decision': 'allow', 'subject': 'administrator', 'action': 'store', 'resource': 'classification', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'store', 'resource': 'icd9cm code', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'store', 'resource': 'name of the diagnosi', 'condition': 'schedule contains enrolled in course offering', 'purpose': 'none'}]",administrator is shall to store classification and administrator is authorized to store icd9cm code and administrator is allowed to store name of the diagnosi if schedule contains enrolled in course offering,4
2123,The documents can only be printed by users in the accounting department for record keeping.,"[{'decision': 'allow', 'subject': 'users in the accounting department', 'action': 'print', 'resource': 'document', 'condition': 'none', 'purpose': 'none'}]",users in the accounting department is able to print document,9
2124,"In the banking domain, individuals occupying the position of financial advisor are allowed to access, modify and delete customer investment portfolios for the purpose of reviewing and recommending investment strategies, provided that explicit consent has been obtained from the respective customer.","[{'decision': 'allow', 'subject': 'financial advisor', 'action': 'access', 'resource': 'customer investment portfolio', 'purpose': 'reviewing and recommending investment strategies', 'condition': 'explicit consent from the customer'}, {'decision': 'allow', 'subject': 'financial advisor', 'action': 'modify', 'resource': 'customer investment portfolio', 'purpose': 'reviewing and recommending investment strategies', 'condition': 'none'}, {'decision': 'allow', 'subject': 'financial advisor', 'action': 'delete', 'resource': 'customer investment portfolio', 'purpose': 'reviewing and recommending investment strategies', 'condition': 'explicit consent from the customer'}]","financial advisor is able to access customer investment portfolio for the purpose of reviewing and recommending investment strategies, if explicit consent from the customer and financial advisor is authorized to modify customer investment portfolio for the purpose of reviewing and recommending investment strategies and financial advisor is authorized to delete customer investment portfolio for the purpose of reviewing and recommending investment strategies, if explicit consent from the customer",8
2125,Farm hands are authorized to access and input data into the crop production software only during the active harvesting season for the purpose of tracking yields.,"[{'decision': 'allow', 'subject': 'farm hand', 'action': 'access', 'resource': 'crop production software', 'purpose': 'none', 'condition': 'during the active harvesting season'}, {'decision': 'allow', 'subject': 'farm hand', 'action': 'input', 'resource': 'crop production software', 'purpose': 'tracking yields', 'condition': 'during the active harvesting season'}]","farm hand is shall to access crop production software if during the active harvesting season and farm hand is shall to input crop production software for the purpose of tracking yields, if during the active harvesting season",9
2126,"Only the head pharmacist and authorized pharmaceutical technicians may access and edit drug inventory and pricing information during normal operation hours, in order to maintain accurate stock details and pricing.","[{'decision': 'allow', 'subject': 'head pharmacist', 'action': 'access', 'resource': 'drug inventory information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}, {'decision': 'allow', 'subject': 'head pharmacist', 'action': 'access', 'resource': 'pricing information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}, {'decision': 'allow', 'subject': 'head pharmacist', 'action': 'edit', 'resource': 'drug inventory information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}, {'decision': 'allow', 'subject': 'head pharmacist', 'action': 'edit', 'resource': 'pricing information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}, {'decision': 'allow', 'subject': 'authorized pharmaceutical technician', 'action': 'access', 'resource': 'drug inventory information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}, {'decision': 'allow', 'subject': 'authorized pharmaceutical technician', 'action': 'edit', 'resource': 'drug inventory information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}, {'decision': 'deny', 'subject': 'authorized pharmaceutical technician', 'action': 'access', 'resource': 'pricing information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}, {'decision': 'allow', 'subject': 'authorized pharmaceutical technician', 'action': 'edit', 'resource': 'pricing information', 'purpose': 'maintain accurate stock details and pricing', 'condition': 'during normal operation hours'}]","head pharmacist is allowed to access drug inventory information for the purpose of maintain accurate stock details and pricing, if during normal operation hours and head pharmacist is able to access pricing information for the purpose of maintain accurate stock details and pricing, if during normal operation hours and head pharmacist is authorized to edit drug inventory information for the purpose of maintain accurate stock details and pricing, if during normal operation hours and head pharmacist is able to edit pricing information for the purpose of maintain accurate stock details and pricing, if during normal operation hours and authorized pharmaceutical technician is authorized to access drug inventory information for the purpose of maintain accurate stock details and pricing, if during normal operation hours and authorized pharmaceutical technician is authorized to edit drug inventory information for the purpose of maintain accurate stock details and pricing, if during normal operation hours and authorized pharmaceutical technician is prohibited to access pricing information for the purpose of maintain accurate stock details and pricing, if during normal operation hours and authorized pharmaceutical technician is able to edit pricing information for the purpose of maintain accurate stock details and pricing, if during normal operation hours",0
2127,"University staff is allowed to access, view, and update student records, including grades and attendance, on the database, solely for the purpose of maintaining accurate academic records and ensuring school compliance, provided that the data privacy regulations are strictly adhered to.","[{'decision': 'allow', 'subject': 'university staff', 'action': 'access', 'resource': 'student records', 'purpose': 'maintaining accurate academic records and ensuring school compliance', 'condition': 'data privacy regulations are strictly adhered to'}, {'decision': 'allow', 'subject': 'university staff', 'action': 'view', 'resource': 'none', 'purpose': 'maintaining accurate academic records and ensuring school compliance', 'condition': 'data privacy regulations are strictly adhered to'}, {'decision': 'allow', 'subject': 'university staff', 'action': 'update', 'resource': 'grades and attendance', 'purpose': 'maintaining accurate academic records and ensuring school compliance', 'condition': 'data privacy regulations are strictly adhered to'}]","university staff is shall to access student records for the purpose of maintaining accurate academic records and ensuring school compliance, if data privacy regulations are strictly adhered to and university staff is shall to view for the purpose of maintaining accurate academic records and ensuring school compliance, if data privacy regulations are strictly adhered to and university staff is shall to update grades and attendance for the purpose of maintaining accurate academic records and ensuring school compliance, if data privacy regulations are strictly adhered to",7
2128,"Banking tellers can access customer's basic information for processing transactions during bank's operating hours as long as the customer has no objection, however, they are not authorized to access the same outside these hours or customers’ confidential data at any given time.","[{'decision': 'allow', 'subject': 'banking teller', 'action': 'access', 'resource': 'customer basic information', 'purpose': 'processing transactions', 'condition': 'bank operating hours and customer has no objection'}, {'decision': 'deny', 'subject': 'banking teller', 'action': 'access', 'resource': 'customer basic information', 'purpose': 'none', 'condition': 'outside bank operating hours'}, {'decision': 'deny', 'subject': 'banking teller', 'action': 'access', 'resource': 'none', 'purpose': 'none', 'condition': 'any given time'}]","banking teller is allowed to access customer basic information for the purpose of processing transactions, if bank operating hours and customer has no objection and banking teller is prohibited to access customer basic information if outside bank operating hours and banking teller is not able to access if any given time",7
2129,The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,"[{'decision': 'allow', 'subject': 'professor', 'action': 'deselect', 'resource': 'course offerings that he or she wishes to teach', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'professor', 'action': 'select', 'resource': 'course offerings that he or she wishes to teach', 'condition': 'none', 'purpose': 'none'}]",professor is shall to deselect course offerings that he or she wishes to teach and professor is allowed to select course offerings that he or she wishes to teach,11
2130,"The Professor can either resolve the schedule conflict (i.e., by canceling his selection to teach one of the course offerings), or cancel the operation, in which case, any selections will be lost, and the use case ends.","[{'decision': 'allow', 'subject': 'professor', 'action': 'cancel', 'resource': 'operation', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'professor', 'action': 'resolve', 'resource': 'schedule conflict', 'condition': 'none', 'purpose': 'routine maintenance'}]",professor is authorized to cancel operation and professor is authorized to resolve schedule conflict for the purpose of routine maintenance,5
2131,The iTrust user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,"[{'decision': 'deny', 'subject': 'itrust user', 'action': 'authenticate', 'resource': 'herself', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'itrust user', 'action': 'authenticate', 'resource': 'himself', 'condition': 'none', 'purpose': 'none'}]",itrust user is shall not to authenticate herself and itrust user is able to authenticate himself,0
2132,"If, in the Basic Flow, the actor enters an invalid name possibly and possibly password, the system displays an error message.","[{'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'error message', 'condition': 'in the basic flow the actor enters an invalid name possibly and possibly password', 'purpose': 'none'}]",system is allowed to display error message if in the basic flow the actor enters an invalid name possibly and possibly password,11
2133,Only authorized personnel can delete files older than 30 days from the shared drive.,"[{'decision': 'allow', 'subject': 'authorized personnel', 'action': 'delete', 'resource': 'file', 'condition': 'after normal work hours', 'purpose': 'none'}]",authorized personnel is able to delete file if after normal work hours,4
2134,"In case the ’expertise-value’ is equal, the reviewer with the least number of papers assigned so far ’gets’ the paper.","[{'decision': 'allow', 'subject': 'reviewer', 'action': 'get', 'resource': 'paper', 'condition': 'expertisevalue is equal', 'purpose': 'none'}]",reviewer is able to get paper if expertisevalue is equal,11
2135,The HCP must not enter demographic data after a patient to verify their validity.,"[{'decision': 'deny', 'subject': 'hcp', 'action': 'enter', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'verify their validity'}]",hcp is prohibited to enter demographic data for the purpose of verify their validity,8
2136,"The system retrieves and displays the Student’s current schedule (e.g., the schedule for the current semester).","[{'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'students current schedule', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'system', 'action': 'retrieve', 'resource': 'hospital id', 'condition': 'none', 'purpose': 'none'}]",system is able to display students current schedule and system is shall to retrieve hospital id,3
2137,"Then, the LHCP can confirm the status setting or consultation entering or cancel.","[{'decision': 'deny', 'subject': 'lhcp', 'action': 'cancel', 'resource': 'status setting', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'confirm', 'resource': 'status setting', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'confirm', 'resource': 'consultation entering', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'cancel', 'resource': 'consultation entering', 'condition': 'none', 'purpose': 'none'}]",lhcp is not able to cancel status setting and lhcp is authorized to confirm status setting and lhcp is allowed to confirm consultation entering and lhcp is shall to cancel consultation entering,0
2138,"If the course offerings do not have at least three students at this point (some may have been added as a result of leveling), then the system cancels the course offering.","[{'decision': 'allow', 'subject': 'system', 'action': 'find', 'resource': 'course offering', 'condition': 'course offerings do not have at least three students at this point (some may have been added as a result of leveling)', 'purpose': 'none'}]",system is able to find course offering if course offerings do not have at least three students at this point (some may have been added as a result of leveling),2
2139,The administrator is generally not permitted to delete unauthorized entries.,"[{'decision': 'deny', 'subject': 'administrator', 'action': 'delete', 'resource': 'unauthorized entrie', 'condition': 'none', 'purpose': 'other purposes'}]",administrator is not able to delete unauthorized entrie for the purpose of other purposes,5
2140,The HCP can edit the office visit in which the laboratory procedure was ordered.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'edit', 'resource': 'office visit', 'condition': 'none', 'purpose': 'reviewing eligibility'}]",hcp is able to edit office visit for the purpose of reviewing eligibility,5
2141,System presents  a listing of all his patients.,"[{'decision': 'allow', 'subject': 'none', 'action': 'present', 'resource': 'listing of all his patient', 'condition': 'none', 'purpose': 'none'}]",listing of all his patient is authorized to be present,6
2142,"Medical records assistant can access, update and print patient's medical records for administrative purposes, only during working hours and not in public places.","[{'decision': 'allow', 'subject': 'medical records assistant', 'action': 'access', 'resource': 'patient medical record', 'purpose': 'administrative', 'condition': 'during working hours and not in public places'}, {'decision': 'allow', 'subject': 'agriculture supervisor', 'action': 'update', 'resource': 'patient medical record', 'purpose': 'administrative', 'condition': 'during working hours and not in public places'}, {'decision': 'allow', 'subject': 'medical records assistant', 'action': 'print', 'resource': 'patient medical record', 'purpose': 'administrative', 'condition': 'during working hours and not in public places'}]","medical records assistant is able to access patient medical record for the purpose of administrative, if during working hours and not in public places and agriculture supervisor is able to update patient medical record for the purpose of administrative, if during working hours and not in public places and medical records assistant is able to print patient medical record for the purpose of administrative, if during working hours and not in public places",1
2143,"However, it should not perform these operations when it is loading medicines to the medicine dispenser.","[{'decision': 'deny', 'subject': 'it', 'action': 'perform', 'resource': 'operation', 'condition': 'none', 'purpose': 'none'}]",it is shall not to perform operation,8
2144,The HCP can add the prescription to the list of medications (UC37).,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'add', 'resource': 'prescription', 'condition': 'granted explicit permission by top management', 'purpose': 'none'}]",hcp is shall to add prescription if granted explicit permission by top management,4
2145,"(If a patient or personal resident has not yet completed his or her satisfaction survey for the visit to the office).This patient can complete the survey for each visit to the office (if the survey has already been completed, the person or personal health officer will not be able to see the survey).","[{'decision': 'deny', 'subject': 'personal health officer', 'action': 'see', 'resource': 'survey', 'condition': 'survey has already been completed', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'see', 'resource': 'survey', 'condition': 'survey has already been completed', 'purpose': 'none'}]",personal health officer is shall not to see survey if survey has already been completed and patient is shall not to see survey if survey has already been completed,10
2146,"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.","[{'decision': 'allow', 'subject': 'person', 'action': 'read', 'resource': 'record', 'condition': 'the patient is under 16 years of age', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'person', 'action': 'read', 'resource': 'record', 'condition': 'none', 'purpose': 'none'}]",person is authorized to read record if the patient is under 16 years of age and person is able to read record,8
2147,Employees in the accounting department can access the company's confidential financial information but only during business hours and for the specific purpose of completing their work assignments.,"[{'decision': 'allow', 'subject': 'none', 'action': 'access', 'resource': ""company's confidential financial information"", 'purpose': 'completing their work assignments', 'condition': 'during business hours'}]","company's confidential financial information is able to be access for the purpose of completing their work assignments, if during business hours",6
2148,"If the system is unable to communicate with the Course Catalog System, the system will display an error message to the Student.","[{'decision': 'allow', 'subject': 'system', 'action': 'display', 'resource': 'error message', 'condition': 'system is unable to communicate with the course catalog system', 'purpose': 'none'}]",system is shall to display error message if system is unable to communicate with the course catalog system,11
2149,"The list is sorted by date of the last status update, most recent first.","[{'decision': 'deny', 'subject': 'none', 'action': 'sort', 'resource': 'list', 'condition': 'none', 'purpose': 'none'}]",list is shall not to be sort,0
2150," ""No one is permitted to access confidential documents without proper authorization.""","[{'decision': 'allow', 'subject': 'no one', 'action': 'access', 'resource': 'confidential document', 'condition': 'none', 'purpose': 'none'}]",no one is allowed to access confidential document,8
2151,"The LHCP types the subject (up to 100 characters) and the text of a message (up to 1000 characters), and clicks the send button.","[{'decision': 'allow', 'subject': 'lhcp', 'action': 'type', 'resource': 'text of a message', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'type', 'resource': 'subject', 'condition': 'clients have signed the necessary documents', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'click', 'resource': 'send button', 'condition': 'none', 'purpose': 'none'}]",lhcp is allowed to type text of a message and lhcp is allowed to type subject if clients have signed the necessary documents and lhcp is able to click send button,4
2152,"Owners can access their account, move funds, and review transactions.","[{'decision': 'allow', 'subject': 'owner', 'action': 'review', 'resource': 'transaction', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'owner', 'action': 'access', 'resource': 'account', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'members of finance department', 'action': 'move', 'resource': 'fund', 'condition': 'none', 'purpose': 'none'}]",owner is shall to review transaction and owner is able to access account and members of finance department is able to move fund,1
2153,The system requests that the Registrar enter the student id,"[{'decision': 'allow', 'subject': 'registrar', 'action': 'enter', 'resource': 'student id', 'condition': 'none', 'purpose': 'change the reason id number of an existing entry'}]",registrar is shall to enter student id for the purpose of change the reason id number of an existing entry,5
2154,"Papers are classified, using the highest and the lowest classification given by the reviewers (A to D), as described in the paper mentioned above.","[{'decision': 'allow', 'subject': 'none', 'action': 'classify', 'resource': 'assigned lab procedure', 'condition': 'none', 'purpose': 'none'}]",assigned lab procedure is authorized to be classify,3
2155,Administrative staff may access employees' personal data for the purpose of human resource management only during business hours.,"[{'decision': 'allow', 'subject': 'administrative staff', 'action': 'access', 'resource': ""employees' personal data"", 'purpose': 'none', 'condition': 'only during business hours'}]",administrative staff is able to access employees' personal data if only during business hours,9
2156,Students must be able to access the system during this time to add or drop courses.,"[{'decision': 'allow', 'subject': 'student', 'action': 'access', 'resource': 'system', 'condition': 'none', 'purpose': 'add course'}, {'decision': 'allow', 'subject': 'student', 'action': 'access', 'resource': 'system', 'condition': 'from within the company network between working hours (9 am to 5 pm)', 'purpose': 'drop course'}]","student is allowed to access system for the purpose of add course and student is authorized to access system for the purpose of drop course, if from within the company network between working hours (9 am to 5 pm)",4
2157,"After entering all required information, the HCP selects the Add button .","[{'decision': 'allow', 'subject': 'hcp', 'action': 'select', 'resource': 'add button', 'condition': 'none', 'purpose': 'none'}]",hcp is able to select add button,11
2158,Pharmacy System may get reports and status information of the medicine dispenser.,"[{'decision': 'allow', 'subject': 'pharmacy system', 'action': 'get', 'resource': 'report', 'condition': 'none', 'purpose': 'none'}]",pharmacy system is allowed to get report,10
2159,The patient can select a diagnosis and will be presented with the LHCPs in the patient's living area (based upon the first three numbers of their zip code) who have handled this diagnosis in the last three years.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'select', 'resource': 'coursework material', 'condition': 'none', 'purpose': 'none'}]",patient is shall to select coursework material,3
2160,"School administrators can access, modify, and delete student records for the purpose of student management, provided they have received written consent from the relevant student or their legal guardian.","[{'decision': 'allow', 'subject': 'school administrator', 'action': 'access', 'resource': 'student record', 'purpose': 'student management', 'condition': 'received written consent from the relevant student or their legal guardian'}, {'decision': 'allow', 'subject': 'school administrator', 'action': 'modify', 'resource': 'student record', 'purpose': 'performing transactions', 'condition': 'received written consent from the relevant student or their legal guardian'}, {'decision': 'allow', 'subject': 'school administrator', 'action': 'delete', 'resource': 'student record', 'purpose': 'student management', 'condition': 'received written consent from the relevant student or their legal guardian'}]","school administrator is allowed to access student record for the purpose of student management, if received written consent from the relevant student or their legal guardian and school administrator is allowed to modify student record for the purpose of performing transactions, if received written consent from the relevant student or their legal guardian and school administrator is authorized to delete student record for the purpose of student management, if received written consent from the relevant student or their legal guardian",5
2161,The MID of the patient cannot be processed.,"[{'decision': 'deny', 'subject': 'none', 'action': 'process', 'resource': 'mid of the patient', 'condition': 'none', 'purpose': 'maintaining records'}]",mid of the patient is not able to be process for the purpose of maintaining records,5
2162,The user can choose any diagnosis code  and type in the desired patient zip code  and a start and end date .,"[{'decision': 'allow', 'subject': 'user', 'action': 'choose', 'resource': 'past medical record', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'type in', 'resource': 'start and end date', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'type in', 'resource': 'patient zip code', 'condition': 'none', 'purpose': 'none'}]",user is able to choose past medical record and user is shall to type in start and end date and user is shall to type in patient zip code,3
2163,The HCP does not have the ability to enter or edit or view the patient's security question or password.,"[{'decision': 'deny', 'subject': 'hcp', 'action': 'enter', 'resource': 'patients password', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'enter', 'resource': 'patients security question', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'view', 'resource': 'patients security question', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'edit', 'resource': 'medical records of the past', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'edit', 'resource': 'patients password', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hcp', 'action': 'view', 'resource': 'patients password', 'condition': 'none', 'purpose': 'none'}]",hcp is unauthorized to enter patients password and hcp is not able to enter patients security question and hcp is shall not to view patients security question and hcp is prohibited to edit medical records of the past and hcp is unauthorized to edit patients password and hcp is shall not to view patients password,3
2164,"Financial associates may view and modify corporate financial data for auditing purposes, given that proper authorization and authentication have been carried out and the data is not shared outside of the auditing team.","[{'decision': 'allow', 'subject': 'financial associate', 'action': 'view', 'resource': 'corporate financial data', 'purpose': 'auditing', 'condition': 'proper authorization and authentication have been carried out and the data is not shared outside of the auditing team'}, {'decision': 'deny', 'subject': 'financial associate', 'action': 'modify', 'resource': 'corporate financial data', 'purpose': 'auditing', 'condition': 'proper authorization and authentication have been carried out and the data is not shared outside of the auditing team'}]","financial associate is able to view corporate financial data for the purpose of auditing, if proper authorization and authentication have been carried out and the data is not shared outside of the auditing team and financial associate is not able to modify corporate financial data for the purpose of auditing, if proper authorization and authentication have been carried out and the data is not shared outside of the auditing team",0
2165," ""Only subjects with a valid token can access Resource M to perform Action Y.""","[{'decision': 'allow', 'subject': 'subjects with a valid token', 'action': 'access', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",subjects with a valid token is authorized to access,7
2166,Authors can submit their abstracts and papers using the web (uploading).,"[{'decision': 'allow', 'subject': 'author', 'action': 'submit', 'resource': 'abstract', 'condition': 'none', 'purpose': 'none'}]",author is able to submit abstract,10
2167,"Managers can read out fixed bonuses to other employees, usually not necessarily to the workers or the director.","[{'decision': 'deny', 'subject': 'none', 'action': 'read out', 'resource': 'fixed bonuses to worker', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'manager', 'action': 'read out', 'resource': 'fixed bonuses to other employee', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'manager', 'action': 'read out', 'resource': 'foxed bonuses to the director', 'condition': 'none', 'purpose': 'none'}]",fixed bonuses to worker is not able to be read out and manager is shall to read out fixed bonuses to other employee and manager is shall not to read out foxed bonuses to the director,6
2168,"Hence, for example, the manager should not remain made aware of previous actions by one patient care worker to access information beyond those responsibilities.","[{'decision': 'deny', 'subject': 'manager', 'action': 'aware', 'resource': 'none', 'condition': 'none', 'purpose': 'access information beyond those responsibilitie'}]",manager is shall not to aware for the purpose of access information beyond those responsibilitie,7
2169,The public health agent may also choose to remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus) .,"[{'decision': 'allow', 'subject': 'senior account officer', 'action': 'remove', 'resource': 'adverse event report', 'condition': 'none', 'purpose': 'none'}]",senior account officer is authorized to remove adverse event report,1
2170,"IT department staff members are allowed to create, modify, and delete user profiles in the company's database for the purpose of user management and security, provided they have taken the mandatory security training.","[{'decision': 'allow', 'subject': 'none', 'action': 'create', 'resource': 'user profile', 'purpose': 'user management and security', 'condition': 'taken the mandatory security training'}, {'decision': 'allow', 'subject': 'IT department staff member', 'action': 'modify', 'resource': 'user profile', 'purpose': 'user management and security', 'condition': 'taken the mandatory security training'}, {'decision': 'allow', 'subject': 'IT department staff member', 'action': 'delete', 'resource': 'user profile', 'purpose': 'user management and security', 'condition': 'taken the mandatory security training'}]","user profile is authorized to be create for the purpose of user management and security, if taken the mandatory security training and IT department staff member is able to modify user profile for the purpose of user management and security, if taken the mandatory security training and IT department staff member is authorized to delete user profile for the purpose of user management and security, if taken the mandatory security training",6
2171,"When the reviewer clicks on a paper number, this causes the activation of a CGI script that in its turn generates a frameset, consisting of 3 frames (See figure 4).","[{'decision': 'allow', 'subject': 'none', 'action': 'submit', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'download', 'resource': 'paper', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'banking advisor', 'action': 'look', 'resource': 'other reviewers review', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'display', 'resource': 'abstract', 'condition': 'none', 'purpose': 'none'}]",review is allowed to be submit and paper is able to be download and banking advisor is shall to look other reviewers review and abstract is allowed to be display,1
2172,"Medical technicians are given access to laboratory machines and equipment for the purposes of running diagnostic tests, only if these tests have been duly ordered by a doctor.","[{'decision': 'allow', 'subject': 'medical technician', 'action': 'access', 'resource': 'laboratory machines and equipment', 'purpose': 'running diagnostic tests', 'condition': 'none'}]",medical technician is able to access laboratory machines and equipment for the purpose of running diagnostic tests,8
2173,"Human resources managers can change, remove, and add employee details on the HR database, solely for the purpose of updating records, contingent on the changes being authorized by the employee and line manager.","[{'decision': 'allow', 'subject': 'human resources manager', 'action': 'change', 'resource': 'employee details', 'purpose': 'updating records', 'condition': 'changes are authorized by the employee and line manager'}, {'decision': 'allow', 'subject': 'human resources manager', 'action': 'monitor', 'resource': 'employee details', 'purpose': 'updating records', 'condition': 'changes are authorized by the employee and line manager'}, {'decision': 'allow', 'subject': 'human resources manager', 'action': 'add', 'resource': 'employee details', 'purpose': 'updating records', 'condition': 'changes are authorized by the employee and line manager'}]","human resources manager is shall to change employee details for the purpose of updating records, if changes are authorized by the employee and line manager and human resources manager is authorized to monitor employee details for the purpose of updating records, if changes are authorized by the employee and line manager and human resources manager is able to add employee details for the purpose of updating records, if changes are authorized by the employee and line manager",2
2174,"Banking managers are authorized to approve or deny loan applications if the requested loan amount is under $100,000; otherwise, a regional director’s approval is required.","[{'decision': 'allow', 'subject': 'banking manager', 'action': 'approve', 'resource': 'loan application', 'purpose': 'none', 'condition': 'requested loan amount is under $100,000'}, {'decision': 'allow', 'subject': 'none', 'action': 'deny', 'resource': 'loan application', 'purpose': 'none', 'condition': 'requested loan amount is under $100,000'}, {'decision': 'allow', 'subject': 'regional director', 'action': 'approve', 'resource': 'loan application', 'purpose': 'none', 'condition': 'requested loan amount is over $100,000'}]","banking manager is able to approve loan application if requested loan amount is under $100,000 and loan application is authorized to be deny if requested loan amount is under $100,000 and regional director is allowed to approve loan application if requested loan amount is over $100,000",6
